user_id,creation_time ,name,email,creation_source,last_session_creation_time ,opted_in_to_mailing_list,enabled_for_marketing_drip,org_id,invited_by_user_id
1,4/22/14 3:53,Clausen August,AugustCClausen@yahoo.com,Guest_Invite,4/22/14 3:53,1,0,11,10803
2,11/15/13 3:45,Poole Matthew,MatthewPoole@gustr.com,Org_Invite,3/31/14 3:45,0,0,1,316
3,3/19/13 23:14,Bottrill Mitchell,MitchellBottrill@gustr.com,Org_Invite,3/19/13 23:14,0,0,94,1525
4,5/21/13 8:09,Clausen Nicklas,NicklasSClausen@yahoo.com,Guest_Invite,5/22/13 8:09,0,0,1,5151
5,1/17/13 10:14,Raw Grace,GraceRaw@yahoo.com,Guest_Invite,1/22/13 10:14,0,0,193,5240
6,12/17/13 3:37,Cunha Eduardo,EduardoPereiraCunha@yahoo.com,Guest_Invite,12/19/13 3:37,0,0,197,11241
7,12/16/12 13:24,Sewell Tyler,TylerSewell@jourrapide.com,Signup,12/20/12 13:24,0,1,37,0
8,7/31/13 5:34,Hamilton Danielle,DanielleHamilton@yahoo.com,Personal_Projects,7/31/13 5:34,1,1,74,0
9,11/5/13 4:04,Amsel Paul,PaulAmsel@hotmail.com,Personal_Projects,11/5/13 4:04,0,0,302,0
10,1/16/13 22:08,Santos Carla,CarlaFerreiraSantos@gustr.com,Org_Invite,6/3/14 22:08,1,1,318,4143
11,12/26/13 3:55,Paulsen Malthe,MaltheAPaulsen@gustr.com,Signup,12/27/13 3:55,0,0,69,0
12,4/17/14 23:48,Mathiesen Lærke,LaerkeLMathiesen@cuvox.de,Org_Invite,4/17/14 23:48,0,0,130,9270
13,3/30/14 16:19,Fry Alexander,AlexanderDFry@cuvox.de,Org_Invite,3/30/14 16:19,0,0,254,11204
14,10/11/12 16:14,Rivera Bret,BretKRivera@gmail.com,Signup,10/12/12 16:14,0,0,0,0
15,7/16/13 21:33,Theiss Ralf,RalfTheiss@hotmail.com,Personal_Projects,7/16/13 21:33,0,0,175,0
16,2/11/13 10:09,Engel René,ReneEngel@hotmail.com,Personal_Projects,2/11/13 10:09,0,0,211,0
17,4/9/14 14:39,Reynolds Anthony,AnthonyReynolds@jourrapide.com,Guest_Invite,4/12/14 14:39,1,0,175,1600
18,8/24/13 0:26,Gregersen Celina,CelinaAGregersen@jourrapide.com,Guest_Invite,8/24/13 0:26,0,0,2,3153
19,5/24/13 14:56,Collins Arlene,ArleneRCollins@gmail.com,Signup,5/30/13 14:56,1,0,0,0
20,3/6/14 11:46,Helms Mikayla,lqyvjilf@uhzdq.com,Signup,5/29/14 11:46,0,0,58,0
21,1/22/13 12:27,Hunter Alfie,AlfieHunter@gmail.com,Personal_Projects,1/22/13 12:27,0,0,54,0
22,2/10/14 6:00,Myers Jordan,JordanMyers@gmail.com,Org_Invite,2/10/14 6:00,0,0,7,2994
23,8/17/12 8:30,Souza Alice,AliceAraujoSouza@gustr.com,Org_Invite,8/18/12 8:30,1,0,6,23
24,9/9/13 22:20,Woodruff James,JamesTWoodruff@cuvox.de,Signup,9/9/13 22:20,1,0,123,0
25,2/25/14 0:11,Stone Elise,EliseStone@jourrapide.com,Guest_Invite,2/26/14 0:11,1,0,81,6312
26,7/28/13 0:53,Wexler Florian,FlorianWexler@jourrapide.com,Org_Invite,7/28/13 0:53,0,0,56,11857
27,1/14/14 17:35,Santos Luís,LuisPintoSantos@gmail.com,Org_Invite,1/15/14 17:35,0,0,134,4189
28,2/11/13 20:00,Weissmuller Marko,MarkoWeissmuller@jourrapide.com,Signup,2/14/13 20:00,0,0,6,0
29,9/16/13 2:08,Fernandes Evelyn,EvelynSousaFernandes@jourrapide.com,Signup,9/17/13 2:08,0,0,92,0
30,6/4/13 0:44,Egger Leah,LeahEgger@jourrapide.com,Guest_Invite,6/4/13 0:44,0,0,251,4835
31,1/23/14 5:21,Moffitt Lily,LilyMoffitt@jourrapide.com,Signup,1/24/14 5:21,0,0,283,0
32,4/17/13 16:21,Perez Timothy,TimothyJPerez@yahoo.com,Personal_Projects,4/17/13 16:21,1,1,98,0
33,3/11/14 6:29,Araujo José,JoseMartinsAraujo@cuvox.de,Guest_Invite,5/31/14 6:29,0,0,401,79
34,2/3/14 20:55,Holm Sara,SaraMHolm@hotmail.com,Org_Invite,2/3/14 20:55,0,0,33,3721
35,8/1/13 10:55,Krueger Dieter,DieterKrueger@gustr.com,Personal_Projects,8/1/13 10:55,0,0,59,0
36,8/6/13 9:08,Andresen Peter,PeterTAndresen@cuvox.de,Guest_Invite,8/6/13 9:08,1,0,109,6805
37,9/25/12 14:37,Carr-Glyn Ella,EllaCarr-Glyn@yahoo.com,Signup,9/26/12 14:37,0,0,276,0
38,5/25/14 6:59,Eiffel Marko,MarkoEiffel@gmail.com,Personal_Projects,5/25/14 6:59,0,0,208,0
39,9/10/13 23:09,Winter Finley,FinleyWinter@cuvox.de,Org_Invite,9/10/13 23:09,1,0,332,3335
40,5/26/14 10:29,Santiago Shirley,ShirleyJSantiago@gmail.com,Guest_Invite,5/26/14 10:29,0,0,2,5377
41,4/30/14 23:38,Herman Christian,ChristianHerman@hotmail.com,Org_Invite,4/30/14 23:38,0,0,64,9286
42,11/11/12 19:05,Pinto Giovanna,GiovannaCunhaPinto@cuvox.de,Signup,5/25/14 19:05,1,0,235,0
43,12/31/12 7:13,Gomes Beatrice,vgqmpljq@yyyxt.com,Guest_Invite,4/15/13 7:13,0,0,63,149
44,5/28/14 16:43,Vogel Jessika,JessikaVogel@jourrapide.com,Signup,5/29/14 16:43,0,0,14,0
45,4/29/14 21:55,Boxer Gabrielle,GabrielleBoxer@gmail.com,Signup_Google_Auth,4/30/14 21:55,1,0,4,0
46,1/1/14 18:42,Landry Juliet,JulietTLandry@yahoo.com,Org_Invite,1/1/14 18:42,0,0,127,2125
47,6/7/12 13:23,Carrillo Hillary,HillaryJCarrillo@yahoo.com,Org_Invite,6/8/12 13:23,1,1,32,11800
48,11/3/13 14:37,Milton Randal,cawizywo@cslyn.com,Org_Invite,11/4/13 14:37,0,0,224,526
49,10/13/13 10:06,Thompson Terence,TerenceSThompson@hotmail.com,Signup,10/13/13 10:06,0,0,304,0
50,6/3/12 11:02,Oliveira Gabrielly,GabriellyAlmeidaOliveira@gmail.com,Guest_Invite,10/23/12 11:02,0,0,61,50
51,8/22/13 9:53,Pereira Bruna,BrunaCastroPereira@yahoo.com,Org_Invite,8/22/13 9:53,0,1,0,9093
52,4/7/14 22:53,Braun Thomas,ThomasBraun@yahoo.com,Personal_Projects,4/7/14 22:53,0,0,0,0
53,2/9/13 23:47,Ribeiro Camila,CamilaGomesRibeiro@gmail.com,Guest_Invite,5/5/13 23:47,0,0,37,3641
54,3/17/13 12:31,Nilsson Michelle,MichelleMNilsson@hotmail.com,Guest_Invite,3/20/13 12:31,1,1,51,3876
55,7/18/12 23:00,Castro Arthur,ArthurPereiraCastro@gmail.com,Signup_Google_Auth,7/20/12 23:00,0,0,229,0
56,12/1/13 8:50,Beike Philipp,PhilippBeike@gmail.com,Guest_Invite,12/2/13 8:50,0,0,229,55
57,11/18/13 17:48,Almeida Livia,LiviaMeloAlmeida@gmail.com,Guest_Invite,11/19/13 17:48,0,0,88,2436
58,1/28/13 17:44,Sanchez Ernest,ErnestGSanchez@jourrapide.com,Org_Invite,1/28/13 17:44,1,0,304,6447
59,3/7/14 3:21,Barbosa Ágatha,AgathaCavalcantiBarbosa@gmail.com,Signup_Google_Auth,6/1/14 3:21,0,0,325,0
60,3/21/14 22:56,McEacharn Archie,ArchieMcEacharn@gmail.com,Org_Invite,5/15/14 22:56,0,0,88,3463
61,5/14/14 3:45,Melo Murilo,MuriloCorreiaMelo@gmail.com,Signup_Google_Auth,5/14/14 3:45,0,0,150,0
62,7/9/13 14:08,Sears Amanda,AmandaGSears@yahoo.com,Signup,7/9/13 14:08,0,0,347,0
63,12/20/12 16:30,Martins Leonor,LeonorAraujoMartins@gmail.com,Signup_Google_Auth,6/4/14 16:30,0,0,203,0
64,3/13/14 22:02,Curtis Kate,saxmsdmc@xhtxh.com,Signup,3/15/14 22:02,0,0,21,0
